date_key,month,day,year,full_date
20210226,2,26,2021,2021-02-26
20210909,9,9,2021,2021-09-09
20200414,4,14,2020,2020-04-14
20201001,10,1,2020,2020-10-01
20200520,5,20,2020,2020-05-20
20190817,8,17,2019,2019-08-17
20180518,5,18,2018,2018-05-18
20211209,12,9,2021,2021-12-09
20180313,3,13,2018,2018-03-13
20220408,4,8,2022,2022-04-08
20190922,9,22,2019,2019-09-22
20200715,7,15,2020,2020-07-15
20211227,12,27,2021,2021-12-27
20200509,5,9,2020,2020-05-09
20191012,10,12,2019,2019-10-12
20181018,10,18,2018,2018-10-18
20200325,3,25,2020,2020-03-25
20210523,5,23,2021,2021-05-23
20180502,5,2,2018,2018-05-02
20210413,4,13,2021,2021-04-13
20190321,3,21,2019,2019-03-21
20200712,7,12,2020,2020-07-12
20210109,1,9,2021,2021-01-09
20210727,7,27,2021,2021-07-27
20191118,11,18,2019,2019-11-18
20180425,4,25,2018,2018-04-25
20200126,1,26,2020,2020-01-26
20211204,12,4,2021,2021-12-04
20220105,1,5,2022,2022-01-05
20201128,11,28,2020,2020-11-28
20190525,5,25,2019,2019-05-25
20180921,9,21,2018,2018-09-21
20180304,3,4,2018,2018-03-04
20210819,8,19,2021,2021-08-19
20180821,8,21,2018,2018-08-21
20200624,6,24,2020,2020-06-24
20190107,1,7,2019,2019-01-07
20220126,1,26,2022,2022-01-26
20191216,12,16,2019,2019-12-16
20220325,3,25,2022,2022-03-25
20181004,10,4,2018,2018-10-04
20191202,12,2,2019,2019-12-02
20200910,9,10,2020,2020-09-10
20210307,3,7,2021,2021-03-07
20210705,7,5,2021,2021-07-05
20210409,4,9,2021,2021-04-09
20190426,4,26,2019,2019-04-26
20201224,12,24,2020,2020-12-24
20210328,3,28,2021,2021-03-28
20200923,9,23,2020,2020-09-23
20180305,3,5,2018,2018-03-05
20210626,6,26,2021,2021-06-26
20220227,2,27,2022,2022-02-27
20220326,3,26,2022,2022-03-26
20181026,10,26,2018,2018-10-26
20210906,9,6,2021,2021-09-06
20211001,10,1,2021,2021-10-01
20180611,6,11,2018,2018-06-11
20210101,1,1,2021,2021-01-01
20190604,6,4,2019,2019-06-04
20180828,8,28,2018,2018-08-28
20180430,4,30,2018,2018-04-30
20220113,1,13,2022,2022-01-13
20210124,1,24,2021,2021-01-24
20180525,5,25,2018,2018-05-25
20210718,7,18,2021,2021-07-18
20220411,4,11,2022,2022-04-11
20211014,10,14,2021,2021-10-14
20180908,9,8,2018,2018-09-08
20200102,1,2,2020,2020-01-02
20191220,12,20,2019,2019-12-20
20210711,7,11,2021,2021-07-11
20180717,7,17,2018,2018-07-17
20210721,7,21,2021,2021-07-21
20201109,11,9,2020,2020-11-09
20180809,8,9,2018,2018-08-09
20200106,1,6,2020,2020-01-06
20190306,3,6,2019,2019-03-06
20191214,12,14,2019,2019-12-14
20191210,12,10,2019,2019-12-10
20180901,9,1,2018,2018-09-01
20181023,10,23,2018,2018-10-23
20201018,10,18,2020,2020-10-18
20211202,12,2,2021,2021-12-02
20210627,6,27,2021,2021-06-27
20201123,11,23,2020,2020-11-23
20220617,6,17,2022,2022-06-17
20211105,11,5,2021,2021-11-05
20201102,11,2,2020,2020-11-02
20191125,11,25,2019,2019-11-25
20180107,1,7,2018,2018-01-07
20180427,4,27,2018,2018-04-27
20180321,3,21,2018,2018-03-21
20181006,10,6,2018,2018-10-06
20210218,2,18,2021,2021-02-18
20210127,1,27,2021,2021-01-27
20190217,2,17,2019,2019-02-17
20200403,4,3,2020,2020-04-03
20180718,7,18,2018,2018-07-18
20190214,2,14,2019,2019-02-14
20200815,8,15,2020,2020-08-15
20181206,12,6,2018,2018-12-06
20220211,2,11,2022,2022-02-11
20181211,12,11,2018,2018-12-11
20200611,6,11,2020,2020-06-11
20220208,2,8,2022,2022-02-08
20211214,12,14,2021,2021-12-14
20211123,11,23,2021,2021-11-23
20210430,4,30,2021,2021-04-30
20181219,12,19,2018,2018-12-19
20181001,10,1,2018,2018-10-01
20190618,6,18,2019,2019-06-18
20180119,1,19,2018,2018-01-19
20201103,11,3,2020,2020-11-03
20180903,9,3,2018,2018-09-03
20190430,4,30,2019,2019-04-30
20180208,2,8,2018,2018-02-08
20180808,8,8,2018,2018-08-08
20200523,5,23,2020,2020-05-23
20201207,12,7,2020,2020-12-07
20181106,11,6,2018,2018-11-06
20210112,1,12,2021,2021-01-12
20190221,2,21,2019,2019-02-21
20220217,2,17,2022,2022-02-17
20200620,6,20,2020,2020-06-20
20210822,8,22,2021,2021-08-22
20190203,2,3,2019,2019-02-03
20210828,8,28,2021,2021-08-28
20180727,7,27,2018,2018-07-27
20190103,1,3,2019,2019-01-03
20180221,2,21,2018,2018-02-21
20190322,3,22,2019,2019-03-22
20180519,5,19,2018,2018-05-19
20180326,3,26,2018,2018-03-26
20180402,4,2,2018,2018-04-02
20190126,1,26,2019,2019-01-26
20220620,6,20,2022,2022-06-20
20181223,12,23,2018,2018-12-23
20200522,5,22,2020,2020-05-22
20190723,7,23,2019,2019-07-23
20191226,12,26,2019,2019-12-26
20210427,4,27,2021,2021-04-27
20181227,12,27,2018,2018-12-27
20200814,8,14,2020,2020-08-14
20190227,2,27,2019,2019-02-27
20210221,2,21,2021,2021-02-21
20210213,2,13,2021,2021-02-13
20190315,3,15,2019,2019-03-15
20220409,4,9,2022,2022-04-09
